"","X.Intercept.","lgHz"
"l22:b09",3.75480703811998,-1.6411678397391
"l22:b10",3.73418211734399,-1.66283207621223
"l22:b11",3.67291247045686,-1.65986143485078
"l22:b12",3.69713569254028,-1.65764735531096
"l22:b13",3.57236066974995,-1.62513413521682
"l22:b14",3.40976787904102,-1.53011077305581
"l22:b15",3.89421913635949,-1.65002729861275
"l22:b16",3.57804624527288,-1.57815212183111
"l22:b17",3.68451097057687,-1.67798241698378
"l22:b18",3.68348702100716,-1.64514424345212
"l22:b19",3.55106355501528,-1.62852302174303
"l22:b20",3.72032797982766,-1.59059904307841
"l22:posttest",4.44061714411462,-1.78241526120545
"l22:pretest",4.07334526293041,-1.75666870326626
"l23:b01",3.0316146863686,-1.29822220940275
"l23:b02",3.25332872862861,-1.38450189114567
"l23:b03",3.00114615750699,-1.29357103588532
"l23:b04",2.93791092066027,-1.24386061703999
"l23:b05",2.94316665872092,-1.23418037639202
"l23:b06",2.97783010987081,-1.29377355631812
"l23:b07",3.00802250962233,-1.26480856998365
"l23:b08",2.7977462333288,-1.25487261697212
"l23:b09",3.25904508705865,-1.46614167644701
"l23:b10",3.01952091678399,-1.35673329812947
"l23:b11",3.34336873290229,-1.47630745125894
"l23:b12",2.98118732422509,-1.31378407978828
"l23:b13",3.09740854683141,-1.36667056450795
"l23:b14",2.91223974992117,-1.26493566032459
"l23:b15",3.10075043413718,-1.36423834237984
"l23:b16",3.22101756652581,-1.41692968286138
"l23:b17",3.11739070513668,-1.38571078033586
"l23:b18",3.0935181632137,-1.39077730847254
"l23:b19",3.05047453917308,-1.32662351263441
"l23:b20",2.91484373749513,-1.28793373659562
"l23:posttest",3.61609315084749,-1.21088117694353
"l23:pretest",2.89630778339696,-1.20267444818164
"l24:b01",0.538072693186229,-0.877770052722868
"l24:b02",0.759868796567997,-1.01321837865406
"l24:b03",0.590231388664192,-0.9763339468245
"l24:b04",0.716898100178194,-1.05031027300101
"l24:b05",0.946853656948262,-1.10307922018678
"l24:b06",1.0166620351314,-1.11864521569818
"l24:b07",1.1463655186709,-1.19272905970392
"l24:b08",1.1992635655615,-1.19318928589223
"l24:b09",1.3158397776702,-1.25724766179093
"l24:b10",1.00262556913272,-1.15438747998234
"l24:b11",1.0990385090525,-1.13557893903574
"l24:b12",1.09794668622457,-1.19843611788664
"l24:b13",1.281811592859,-1.23138973628401
"l24:b14",1.16396791152443,-1.17107903243828
"l24:b15",1.0109252736617,-1.13323924929142
"l24:b16",1.26246619982958,-1.22646472136928
"l24:b17",1.09836654501249,-1.1998269641304
"l24:b18",1.40925417336877,-1.23196198713306
"l24:b19",1.06311823409368,-1.15328267657
"l24:b20",1.00895633479638,-1.14073859391271
"l24:posttest",3.97980546588135,-1.57863878250611
"l24:pretest",1.70673943703001,-1.3014466681607
"l25:b01",3.17084138176867,-1.45001549497647
"l25:b02",2.90837840544433,-1.38128105150004
"l25:b03",3.36987592778691,-1.50877322139307
"l25:b04",3.25118270874789,-1.48581010780234
"l25:b05",3.48468229833221,-1.58127624651814
"l25:b06",3.0275658146267,-1.41591870824377
"l25:b07",3.25248614985583,-1.4671315983037
"l25:b08",3.29803366669364,-1.45750482397469
"l25:b09",3.07290844812298,-1.41049497673959
"l25:b10",3.40124858928278,-1.51655843465607
"l25:b11",3.27937957659824,-1.4891223042665
"l25:b12",3.35083740940401,-1.51132215365649
"l25:b13",3.00352284918253,-1.3846978878622
"l25:b14",3.34114264445669,-1.53261420821606
"l25:b15",3.48902101128211,-1.54729680556355
"l25:b16",3.03286202641981,-1.42265502910574
"l25:b17",3.28199572547957,-1.4949389907314
"l25:b18",3.24514803128268,-1.44790525735193
"l25:b19",3.24356791403911,-1.44968888373582
"l25:b20",2.84813779428434,-1.30372079934948
"l25:posttest",2.63873454983479,-1.03567861842949
"l25:pretest",3.06691029060783,-1.35041258344189
"l26:b01",3.18988489268927,-1.36747345168513
"l26:b02",3.00730319012608,-1.30809564940037
"l26:b03",3.21511946696452,-1.36999281633286
"l26:b04",3.17631051829646,-1.37690708145576
"l26:b05",3.24819938904811,-1.39230672495084
"l26:b06",3.16344486470105,-1.3552223776829
"l26:b07",3.54450987305631,-1.43848600835078
"l26:b08",3.31370455861387,-1.39315275608174
"l26:b09",3.23283509554561,-1.37709493222055
"l26:b10",3.26514609925961,-1.35461074083728
"l26:b11",3.47158263029749,-1.45696296725803
"l26:b12",3.48289634490441,-1.45783256844112
"l26:b13",3.35005966438542,-1.41343015351476
"l26:b14",3.27984533450754,-1.39026898131785
"l26:b15",3.55138154232167,-1.50025062405225
"l26:b16",3.53431274085053,-1.49051107172449
"l26:b17",3.35451652122977,-1.43716651638436
"l26:b18",3.30558074996809,-1.41514031457926
"l26:b19",3.5661860213904,-1.48584383792719
"l26:b20",3.53647695134673,-1.46729594374157
"l26:posttest",2.74930268934048,-1.22869555086182
"l26:pretest",2.86635224112511,-1.32000777013334
"l27:b01",2.39245017912024,-1.21851155196184
"l27:b02",2.49260876180967,-1.28290130057925
"l27:b03",2.54873988795839,-1.30766695751663
"l27:b04",2.85688425305061,-1.41156166068716
"l27:b05",2.79665341834208,-1.39187865696253
