subID,time,method,channel,ints,slope
a14,B,lmer,parietal,3.316577603,-1.376451828
a14,B,lmer,occipital,2.73255542,-1.157649042
a14,B,fooof,frontal,0.979823818,1.416202886
a14,B,fooof,central,1.473941994,1.608830685
a14,B,fooof,parietal,1.38818859,1.52888004
a14,B,fooof,occipital,1.212990831,1.413542457
a14,C,lmer,frontal,1.766020115,-0.871891581
a14,C,lmer,central,2.608574417,-1.013711457
a14,C,lmer,parietal,2.496586037,-0.900831137
a14,C,lmer,occipital,2.133830759,-0.786763187
a14,C,fooof,frontal,0.8071,0.9475
a14,C,fooof,central,1.1546,1.1267
a14,C,fooof,parietal,0.8988738,0.81429456
a14,C,fooof,occipital,0.80936895,0.85613055
a15,A,lmer,frontal,3.729844982,-1.895670245
a15,A,lmer,central,4.00932879,-1.913816612
a15,A,lmer,parietal,3.835580019,-1.799121899
a15,A,lmer,occipital,3.376770579,-1.560482382
a15,A,fooof,frontal,1.56781072,1.88013963
a15,A,fooof,central,1.74585183,1.97010933
a15,A,fooof,parietal,1.66865623,1.85298547
a15,A,fooof,occipital,1.50069895,1.63350764
a15,B,lmer,frontal,3.158971049,-1.625795376
a15,B,lmer,central,3.418865512,-1.658296811
a15,B,lmer,parietal,3.27338354,-1.62108269
a15,B,lmer,occipital,2.877465004,-1.437639673
a15,B,fooof,frontal,1.122792668,1.487302695
a15,B,fooof,central,1.218346408,1.538919317
a15,B,fooof,parietal,1.176207616,1.509547331
a15,B,fooof,occipital,1.107593645,1.43234055
a15,C,lmer,frontal,3.872595518,-1.255307652
a15,C,lmer,central,3.456955243,-1.436236864
a15,C,lmer,parietal,3.321927923,-1.432125989
a15,C,lmer,occipital,3.336520147,-1.337965291
a15,C,fooof,frontal,1.6404,1.2472
a15,C,fooof,central,1.53139939,1.5409124
a15,C,fooof,parietal,1.36923096,1.4257029
a15,C,fooof,occipital,1.43730691,1.3954798
a16,A,lmer,frontal,2.31036304,-1.461057067
a16,A,lmer,central,3.115442504,-1.52282764
a16,A,lmer,parietal,3.168765324,-1.520815996
a16,A,lmer,occipital,3.09504276,-1.307165125
a16,A,fooof,frontal,1.03450976,1.53620776
a16,A,fooof,central,1.2772903,1.47504742
a16,A,fooof,parietal,1.33262072,1.52181424
a16,A,fooof,occipital,1.30976661,1.35732584
a16,B,lmer,frontal,2.708056777,-1.521028332
a16,B,lmer,central,4.232421332,-1.886724168
a16,B,lmer,parietal,3.873055726,-1.772419759
a16,B,lmer,occipital,3.360753284,-1.447841679
a16,B,fooof,frontal,0.983290382,1.473358207
a16,B,fooof,central,1.547711168,1.776548935
a16,B,fooof,parietal,1.460376012,1.731172402
a16,B,fooof,occipital,1.357052494,1.557674476
a16,C,lmer,frontal,2.758319946,-1.517247825
a16,C,lmer,central,3.392190371,-1.526007743
a16,C,lmer,parietal,3.343722204,-1.543156954
a16,C,lmer,occipital,3.118097629,-1.403129975
a16,C,fooof,frontal,1.2673,1.6516
a16,C,fooof,central,1.30312194,1.41735034
a16,C,fooof,parietal,1.39141479,1.52546569
a16,C,fooof,occipital,1.30046623,1.411809
a17,A,lmer,frontal,3.246266486,-1.760543776
a17,A,lmer,central,3.606311764,-1.765620164
a17,A,lmer,parietal,3.468437543,-1.705767934
a17,A,lmer,occipital,3.075632936,-1.603600698
a17,A,fooof,frontal,1.18979465,1.61059603
a17,A,fooof,central,1.31029278,1.59029566
a17,A,fooof,parietal,1.42841508,1.72263783
a17,A,fooof,occipital,1.37627174,1.71821071
a17,B,lmer,frontal,3.794831982,-1.757824878
a17,B,lmer,central,4.067917183,-1.798748457
a17,B,lmer,parietal,3.765482222,-1.69693134
a17,B,lmer,occipital,3.222089172,-1.526884057
a17,B,fooof,frontal,1.05438772,1.258194865
a17,B,fooof,central,1.13108495,1.308004649
a17,B,fooof,parietal,1.084167252,1.260116397
a17,B,fooof,occipital,0.998521999,1.238158497
a17,C,lmer,frontal,3.587513788,-1.846248668
a17,C,lmer,central,3.861246195,-1.835919219
a17,C,lmer,parietal,3.698336892,-1.74456075
a17,C,lmer,occipital,3.241093196,-1.632390207
a17,C,fooof,frontal,1.1935,1.5867
a17,C,fooof,central,1.38371874,1.6334438
a17,C,fooof,parietal,1.49044898,1.75471018
a17,C,fooof,occipital,1.41850481,1.73261445
a18,A,lmer,frontal,3.384052042,-1.713934196
a18,A,lmer,central,4.278381077,-1.816666949
a18,A,lmer,parietal,4.78437243,-2.026354064
a18,A,lmer,occipital,4.584405389,-1.801208905
a18,A,fooof,frontal,1.29152351,1.61751511
a18,A,fooof,central,1.63552966,1.7184928
