subID,block,method,channel,ints,slope
a06,A,fooof,parietal,1.347982099,1.495700056
a06,A,fooof,occipital,1.395601968,1.507025384
a06,B,lmer,frontal,2.576135849,-1.214404354
a06,B,lmer,central,3.654917908,-1.638850113
a06,B,lmer,parietal,3.622463859,-1.655856655
a06,B,lmer,occipital,3.461810568,-1.526873264
a06,B,fooof,frontal,1.041896109,1.186613046
a06,B,fooof,central,1.401931767,1.552510336
a06,B,fooof,parietal,1.456077382,1.633149302
a06,B,fooof,occipital,1.476857057,1.592158317
a06,C,lmer,frontal,3.803605597,-1.362573208
a06,C,lmer,central,3.863150573,-1.625775259
a06,C,lmer,parietal,4.037387018,-1.754882552
a06,C,lmer,occipital,4.043434939,-1.642416727
a06,C,fooof,frontal,1.53058142,1.269005277
a06,C,fooof,central,1.558408811,1.559597467
a06,C,fooof,parietal,1.66427528,1.738889042
a06,C,fooof,occipital,1.662482908,1.692352462
a07,A,lmer,frontal,1.322342059,-0.260870651
a07,A,lmer,central,2.947746386,-0.908104428
a07,A,lmer,parietal,3.09670048,-0.966234155
a07,A,lmer,occipital,3.22252136,-0.870017671
a07,A,fooof,frontal,0.162524548,-0.0443014
a07,A,fooof,central,1.12317619,0.837700816
a07,A,fooof,parietal,1.186132282,0.919551493
a07,A,fooof,occipital,1.241640813,0.862624316
a07,B,lmer,frontal,1.547498865,-0.51172495
a07,B,lmer,central,3.284458269,-1.192090477
a07,B,lmer,parietal,3.329630269,-1.276997272
a07,B,lmer,occipital,3.052498831,-1.154032187
a07,B,fooof,frontal,0.608931363,0.449526133
a07,B,fooof,central,1.344334423,1.148301322
a07,B,fooof,parietal,1.392642451,1.262007114
a07,B,fooof,occipital,1.341476595,1.22918088
a07,C,lmer,frontal,2.228695529,-0.432102232
a07,C,lmer,central,2.619746462,-0.815713387
a07,C,lmer,parietal,2.880262323,-1.059503362
a07,C,lmer,occipital,2.530265068,-0.866470385
a07,C,fooof,frontal,0.922368475,0.377043034
a07,C,fooof,central,1.152537488,0.901154141
a07,C,fooof,parietal,1.116234167,1.004152307
a07,C,fooof,occipital,0.937843868,0.809142328
a08,A,lmer,frontal,2.729785387,-1.511846971
a08,A,lmer,central,3.933267509,-1.918591682
a08,A,lmer,parietal,3.439277781,-1.760906974
a08,A,lmer,occipital,3.491080142,-1.694763164
a08,A,fooof,frontal,1.148901443,1.497646545
a08,A,fooof,central,1.525309467,1.810709333
a08,A,fooof,parietal,1.333147262,1.68254367
a08,A,fooof,occipital,1.43706948,1.709211683
a08,B,lmer,frontal,3.120849894,-1.475232785
a08,B,lmer,central,4.05894739,-1.788059738
a08,B,lmer,parietal,3.661646067,-1.683640818
a08,B,lmer,occipital,3.530424465,-1.567644747
a08,B,fooof,frontal,1.331605508,1.493350008
a08,B,fooof,central,1.692270811,1.792967326
a08,B,fooof,parietal,1.55113381,1.710566587
a08,B,fooof,occipital,1.494877662,1.605960502
a08,C,lmer,frontal,3.352129618,-1.842569671
a08,C,lmer,central,4.462803055,-2.061956205
a08,C,lmer,parietal,4.466053975,-2.047581585
a08,C,lmer,occipital,4.405189944,-1.99028363
a08,C,fooof,frontal,1.335173244,1.773133176
a08,C,fooof,central,1.803929567,2.008249968
a08,C,fooof,parietal,1.850226724,2.051687313
a08,C,fooof,occipital,1.900537434,2.07158338
a09,A,lmer,frontal,2.976280817,-1.442705373
a09,A,lmer,central,3.096675126,-1.323605286
a09,A,lmer,parietal,2.860058565,-1.246460608
a09,A,lmer,occipital,2.669825791,-1.141769738
a09,A,fooof,frontal,1.196501238,1.403573514
a09,A,fooof,central,1.142687203,1.234384816
a09,A,fooof,parietal,1.039807971,1.199893739
a09,A,fooof,occipital,1.031525763,1.153006381
a09,B,lmer,frontal,3.556629996,-1.610783766
a09,B,lmer,central,3.365008094,-1.431597175
a09,B,lmer,parietal,3.08797069,-1.357030814
a09,B,lmer,occipital,3.038527404,-1.286658799
a09,B,fooof,frontal,1.541809031,1.643715542
a09,B,fooof,central,1.376060681,1.408122089
a09,B,fooof,parietal,1.295084369,1.357795653
a09,B,fooof,occipital,1.283665851,1.29698782
a09,C,lmer,frontal,3.519763553,-1.029958565
a09,C,lmer,central,2.986654705,-1.150434915
a09,C,lmer,parietal,2.683631508,-1.110604578
a09,C,lmer,occipital,2.294849979,-0.988913878
a09,C,fooof,frontal,1.451622547,1.008678633
a09,C,fooof,central,1.023282594,0.995464114
a09,C,fooof,parietal,0.870208472,0.980947249
a09,C,fooof,occipital,0.785179997,0.914181349
a10,A,lmer,frontal,1.684829898,-1.095609985
a10,A,lmer,central,3.246883432,-1.712886479
a10,A,lmer,parietal,2.934682803,-1.580192521
a10,A,lmer,occipital,1.808985415,-1.020430923
a10,A,fooof,frontal,-0.180505539,0.357591027
a10,A,fooof,central,1.346855549,1.65279607
a10,A,fooof,parietal,1.398998905,1.752239209
a10,A,fooof,occipital,0.657209183,0.919898303
a10,B,lmer,frontal,2.486460762,-1.453745446
a10,B,lmer,central,3.957968951,-1.941307418
a10,B,lmer,parietal,3.495760374,-1.73510944
a10,B,lmer,occipital,2.474612263,-1.246398251
a10,B,fooof,frontal,0.957264885,1.350066357
a10,B,fooof,central,1.647090876,1.91530571
a10,B,fooof,parietal,1.450805847,1.707803468
a10,B,fooof,occipital,1.04268711,1.230778165
