Subject,Block,Condition,Group,Fr_Slope,Fr_Offset,Fr_R2,Cn_Slope,Cn_Offset,Cn_R2,Pr_Slope,Pr_Offset,Pr_R2,Occ_Slope,Occ_Offset,Occ_R2
16,1,practice,yoked,0.732568332,0.713933232,0.794343162,1.559275458,1.546856478,0.988219557,1.772604184,1.69353853,0.992050907,1.619397394,1.650833117,0.991403997
16,2,practice,yoked,0.801009979,0.770635478,0.82573571,1.614118453,1.587550446,0.985730827,1.808571397,1.699904896,0.995129155,1.814132525,1.76642524,0.99515347
16,3,practice,yoked,0.223952364,0.023860028,0.882333575,1.696174201,1.684815243,0.984653162,1.891907809,1.838985632,0.994903976,1.779472161,1.753393468,0.9944718
16,4,practice,yoked,0.981239152,0.938130378,0.857096327,1.89498146,1.869169106,0.996841145,1.947735923,1.891416419,0.990288337,1.868554319,1.839093203,0.988086689
16,5,practice,yoked,1.026540782,0.983119974,0.878230869,1.736995719,1.725955928,0.990251893,1.868657925,1.774717954,0.993855001,1.965932522,1.928614676,0.992822301
16,6,practice,yoked,0.918628589,0.84554078,0.89249906,1.655122553,1.639009667,0.986188437,1.819867156,1.698953829,0.99449911,1.891712852,1.806828197,0.996173271
16,7,practice,yoked,1.146407826,1.062301386,0.909154177,1.856831714,1.843256684,0.995814733,1.951085193,1.862042464,0.996455946,1.975331973,1.90794179,0.997937147
16,8,practice,yoked,1.116040165,1.065594201,0.921067545,1.881453448,1.880807096,0.992795567,2.019999116,1.922350359,0.990394442,2.042981056,1.972284168,0.9990712
16,9,practice,yoked,1.182643223,1.093992693,0.90459185,1.859286307,1.818957333,0.993017142,1.943660858,1.815831763,0.996648381,1.933517521,1.813257975,0.994926733
16,10,practice,yoked,1.531996932,1.378778318,0.987805807,1.96345252,1.900205362,0.997705295,1.987004944,1.869252284,0.992490137,1.976942718,1.860479199,0.99594822
16,11,practice,yoked,1.342395229,1.170413343,0.980489468,1.789913666,1.767924564,0.987681421,1.855884339,1.733264133,0.991569138,1.839575611,1.684102181,0.992660969
16,12,practice,yoked,1.402074995,1.246374579,0.968156393,1.978727687,1.940424512,0.993399101,1.920195608,1.785297309,0.989981799,1.938704741,1.854130274,0.99082786
