"","X.Intercept.","lgHz"
"a03:b09",2.36819192294662,-1.14977155393757
"a03:b10",2.67610611188567,-1.27385030528031
"a03:b11",2.56099985018623,-1.27516423289627
"a03:b12",2.57178156117462,-1.2523500757596
"a03:b13",2.70559513998915,-1.30262936611884
"a03:b14",2.57630730862221,-1.31237972748194
"a03:b15",3.30962126346177,-1.58856007897338
"a03:b16",2.86489153148917,-1.45137570172379
"a03:b17",2.50119851382538,-1.24660376223297
"a03:b18",2.98407005097752,-1.44733986325435
"a03:b19",3.016389871345,-1.44662132844875
"a03:b20",2.81379555015554,-1.40627478627557
"a03:posttest",3.50575896883976,-1.44394885714076
"a03:pretest",3.101061121788,-1.50607358614737
"a04:b01",1.73948073351936,-0.932676825847667
"a04:b02",2.04612417837048,-1.16863073085559
"a04:b03",1.87468919985397,-1.12280493852234
"a04:b04",2.03663072815081,-1.21805545790303
"a04:b05",2.17773243622701,-1.27464683897993
"a04:b06",1.93885680524355,-1.2051647648976
"a04:b07",2.1837920431246,-1.29035118231441
"a04:b08",2.31589435191822,-1.38673479014239
"a04:b09",1.96044334483794,-1.23650591226929
"a04:b10",2.32205339299011,-1.36859870209546
"a04:b11",2.56950095730448,-1.52675785173941
"a04:b12",2.21208057473524,-1.36162659764088
"a04:b13",2.20205845219044,-1.36983383260501
"a04:b14",2.20579118862411,-1.36586424225819
"a04:b15",2.48623646882433,-1.41711764709975
"a04:b16",2.22544801820893,-1.34212074099077
"a04:b17",2.2444081807022,-1.36917783122672
"a04:b18",2.04540864652062,-1.22266282676622
"a04:b19",1.8320817102246,-1.1588752203595
"a04:b20",1.92651356129891,-1.18817608223183
"a04:posttest",3.10754509925828,-1.18457596288939
"a04:pretest",2.50902854973271,-1.29024650518479
"a05:b01",1.4528570723206,-0.834109722121007
"a05:b02",1.71175940307144,-0.951257824168888
"a05:b03",1.61292248366761,-0.936489412524864
"a05:b04",1.97263134198583,-1.06085854691712
"a05:b05",1.63151844878304,-0.92536061229373
"a05:b06",1.47206460865839,-0.856840550047196
"a05:b07",1.97434993820357,-1.02559181241814
"a05:b08",1.91745972781869,-0.973652285411429
"a05:b09",1.92616759516838,-0.995052182525716
"a05:b10",1.89602488470791,-0.959142908775762
"a05:b11",1.2215925047505,-0.699721726700197
"a05:b12",1.34089196110893,-0.745940578613255
"a05:b13",1.40142523796026,-0.732351659093774
"a05:b14",1.38059492010901,-0.696711677750578
"a05:b15",1.53725117564085,-0.73630814786038
"a05:b16",0.914520562992199,-0.419532109241235
"a05:b17",1.65295310622684,-0.801227418834886
"a05:b18",2.1590511290997,-0.990761963127974
"a05:b19",1.91932588883691,-0.870604623474978
"a05:b20",1.53068041573143,-0.755502585275258
"a05:posttest",1.44056307856383,-0.717310513226136
"a05:pretest",0.968296278771161,-0.6713171116019
"a06:b01",1.62761417461133,-0.679854797588378
"a06:b02",1.80181480326003,-0.884809601269871
"a06:b03",2.26122444372564,-1.07324755582594
"a06:b04",2.2541958416146,-1.07598595094275
"a06:b05",2.78527042383406,-1.35340060928408
"a06:b06",2.61376667148469,-1.29060326477573
"a06:b07",2.5142575944984,-1.21412416046282
"a06:b08",2.22838352478278,-1.05212495496954
"a06:b09",2.10977236412953,-0.982656893198878
"a06:b10",3.00558512286291,-1.38769941657529
"a06:b11",2.95884223144765,-1.355606677873
"a06:b12",2.89297058363373,-1.41129134252011
"a06:b13",2.91559340310345,-1.35839508273085
"a06:b14",2.87085660910747,-1.33686934061595
"a06:b15",2.86372632507041,-1.32729220206257
"a06:b16",2.80549005595279,-1.29996846196728
"a06:b17",2.59106054115737,-1.21347647375552
"a06:b18",2.79923268612564,-1.2749903433525
"a06:b19",3.06255069714679,-1.44675518572461
"a06:b20",2.56050887392455,-1.26893476532504
"a06:posttest",3.80360559654499,-1.36257320834888
"a06:pretest",2.35040186753696,-1.07976764076857
"a07:b01",1.43233451154497,-0.381671945018458
"a07:b02",1.71491181363595,-0.588393199074348
"a07:b03",1.6409357183257,-0.514172755733841
"a07:b04",1.83097135421959,-0.617022586281096
"a07:b05",1.39681657784692,-0.41601212371593
"a07:b06",1.30088344857777,-0.348597239699394
"a07:b07",1.25059440798832,-0.358320498040171
"a07:b08",1.2294819830964,-0.292749831888984
"a07:b09",1.4452399206883,-0.466113702738166
"a07:b10",1.7077901987574,-0.619709055446709
"a07:b11",1.7815812188957,-0.690137767194165
"a07:b12",1.90745061691683,-0.746461010662542
"a07:b13",1.74816466859866,-0.65016513859414
"a07:b14",1.57899148322165,-0.621336865580717
"a07:b15",1.72268556479336,-0.632273358786813
"a07:b16",1.55081093596492,-0.513770854753788
"a07:b17",1.32772822802979,-0.424200157777559
"a07:b18",1.57799357880691,-0.497467955129944
