"","X.Intercept.","lgHz"
"a29:b16",3.51131523662774,-1.38961914659782
"a29:b17",3.58689305246357,-1.44054496364172
"a29:b18",3.58190056072146,-1.38546815498617
"a29:b19",3.90606348737007,-1.53423789638181
"a29:b20",3.47821022040675,-1.365231283387
"a29:posttest",3.45606647529845,-1.04946584517381
"a29:pretest",3.01285535225674,-1.03499959556423
"a30:b01",2.7275551921815,-1.20886215814244
"a30:b02",2.82438574347119,-1.24340621372138
"a30:b03",2.82464102638289,-1.26863896229739
"a30:b04",2.78202285139961,-1.21274198695776
"a30:b05",2.70037496175062,-1.20675318359551
"a30:b06",2.86396943735037,-1.29669646549886
"a30:b07",2.94110995692649,-1.33516776231887
"a30:b08",2.84113368360437,-1.27784015130892
"a30:b09",2.89251394366465,-1.24561290037552
"a30:b10",3.25058959865941,-1.40427873150573
"a30:b11",3.11745648376854,-1.38375401026692
"a30:b12",3.04101870171876,-1.34341132107052
"a30:b13",2.79363042341773,-1.23091407286665
"a30:b14",2.75423822228765,-1.15165413153783
"a30:b15",3.23182776611481,-1.44333753852964
"a30:b16",2.82966793403752,-1.26785676889264
"a30:b17",3.12741817362408,-1.356538257788
"a30:b18",3.01152323149722,-1.34769597232549
"a30:b19",2.81994667877792,-1.1998709024877
"a30:b20",2.71499667549836,-1.15090996599834
"a30:posttest",2.34399966073674,-1.04384862303429
"a30:pretest",2.49434162441307,-1.21874847836557
"l01:b01",3.94818042467333,-1.5973453311906
"l01:b02",4.05356966437387,-1.68540747929303
"l01:b03",3.93019369967233,-1.63535191447072
"l01:b04",4.1584108222097,-1.7132291846283
"l01:b05",4.2304092598847,-1.74928332383877
"l01:b06",4.13572419525896,-1.71571944339475
"l01:b07",3.98570977630625,-1.61830186743531
"l01:b08",4.1428541488059,-1.66548493753768
"l01:b09",4.35274415498489,-1.83431652836921
"l01:b10",4.1909790012439,-1.74356056247918
"l01:b11",4.17063327667276,-1.73929289035509
"l01:b12",4.07711787895931,-1.6432262832222
"l01:b13",4.07241590284012,-1.72241518350824
"l01:b14",4.1062905059616,-1.71895627753473
"l01:b15",4.14556046554422,-1.7252666532259
"l01:b16",4.36757683744939,-1.82226657987431
"l01:b17",4.27628830695543,-1.81586296354124
"l01:b18",4.21571137531269,-1.75754937655316
"l01:b19",4.19206996839115,-1.77265832191175
"l01:b20",4.40447104150631,-1.82530003956059
"l01:posttest",3.8535687833236,-1.61637418306459
"l01:pretest",3.92606263488481,-1.6155132102186
"l02:b01",4.39063730709547,-1.63706272934229
"l02:b02",4.35480856827384,-1.76680624290271
"l02:b03",4.46686175672462,-1.7390980846906
"l02:b04",4.51383880521929,-1.81091694915281
"l02:b05",4.56505886298391,-1.87683189267986
"l02:b06",4.47652259447772,-1.79455207576935
"l02:b07",4.24241878469253,-1.67148512405825
"l02:b08",4.41460237618109,-1.77475105748966
"l02:b09",4.80097114971829,-1.94299195282785
"l02:b10",4.56463188591573,-1.82575363378614
"l02:b11",4.41369190081115,-1.75711399864325
"l02:b12",4.48247824845857,-1.80429857502047
"l02:b13",4.42846589938166,-1.79851124096581
"l02:b14",4.02127154042038,-1.58156939954673
"l02:b15",4.38412212485946,-1.79085159067373
"l02:b16",4.53851066312715,-1.7909371200539
"l02:b17",4.12499207894043,-1.59715338442121
"l02:b18",4.43270175928587,-1.7492441045902
"l02:b19",4.3880162424261,-1.73062405906659
"l02:b20",4.4840181611448,-1.77713158890608
"l02:posttest",4.12210958413104,-1.56584509882586
"l02:pretest",3.82912626216999,-1.52183801645265
"l03:b01",3.12822271396829,-1.26545528089354
"l03:b02",3.25226381794128,-1.375498413946
"l03:b03",3.31073999448086,-1.34621318176448
"l03:b04",3.62886663863676,-1.54400247828762
"l03:b05",3.54513218198837,-1.52994028193355
"l03:b06",3.62151876263973,-1.55779660339244
"l03:b07",3.65720839300553,-1.62328566391568
"l03:b08",3.55417490621081,-1.54611109451919
"l03:b09",3.87941685088987,-1.71718484019358
"l03:b10",3.50431830981059,-1.53871170808468
"l03:b11",3.28774048946888,-1.457525947543
"l03:b12",3.37720625606388,-1.44912735941959
"l03:b13",3.31705763694515,-1.42954810031276
"l03:b14",3.20588417124415,-1.4172165265966
"l03:b15",3.84997697748185,-1.63494404305563
"l03:b16",3.73064807471279,-1.60595960431239
"l03:b17",3.26925858040109,-1.40873158352617
"l03:b18",3.36853902665345,-1.4628843986452
"l03:b19",3.53492052575406,-1.48945249295551
"l03:b20",3.38378791498393,-1.4121043823582
"l03:posttest",3.41898330065158,-1.45163097526668
"l03:pretest",3.00550410617414,-1.32843493865651
"l04:b01",4.94560205255606,-1.9439374839071
"l04:b02",5.06454062348682,-2.01147899604401
"l04:b03",5.0776679489178,-2.02161694864504
"l04:b04",5.14628650683217,-2.02866470373243
"l04:b05",4.98571433555191,-1.97565739376204
"l04:b06",5.20598484324295,-2.07220239913221
"l04:b07",5.16525197418263,-2.07381727665096
"l04:b08",5.058347168701,-2.02075329386099
"l04:b09",4.97577121923442,-1.97735212948507
"l04:b10",5.12463270978464,-2.05130579153578
"l04:b11",5.11732223682388,-2.01641302027971
"l04:b12",5.02047582157786,-1.98201631069683
"l04:b13",5.03488061538915,-2.00557080310227
"l04:b14",5.07873186354296,-2.04249834082411
"l04:b15",5.15966960205651,-2.06580389839114
"l04:b16",5.07337600186955,-2.06014822887889
"l04:b17",5.24258436105101,-2.08227208657445
"l04:b18",5.16170908814313,-2.03447951606836
"l04:b19",5.15686789244679,-2.03048098455845
"l04:b20",4.98207829470361,-2.00056502045777
"l04:posttest",4.95001789330619,-1.91405605201184
"l04:pretest",4.80636029440681,-1.88554527919914
