"","X.Intercept.","lgHz"
"l05:b02",3.54780005619809,-1.51585690796893
"l05:b03",3.43930995795293,-1.49379803051773
"l05:b04",3.51865465745185,-1.51076359582506
"l05:b05",3.62203968468666,-1.55484786048934
"l05:b06",3.75127424074081,-1.61181858786698
"l05:b07",3.50425599183767,-1.53150074163437
"l05:b08",3.76827138826171,-1.64028692532648
"l05:b09",3.80514692191357,-1.66588401166258
"l05:b10",4.13885980439298,-1.81772285897438
"l05:b11",3.62815578480046,-1.50890265890107
"l05:b12",3.51259476958993,-1.50912142426829
"l05:b13",3.77094086573855,-1.59258724350239
"l05:b14",3.83775445503931,-1.64728777848755
"l05:b15",3.57535801354132,-1.56894532071756
"l05:b16",3.61705637338506,-1.5285522006613
"l05:b17",3.87672604718389,-1.70839518460637
"l05:b18",3.86810045462709,-1.64722784881581
"l05:b19",3.96695598390251,-1.70258009709474
"l05:b20",3.70402042120015,-1.54353084741288
"l05:posttest",4.21559543985922,-1.48518242122517
"l05:pretest",3.51464897372059,-1.35227614958437
"l06:b01",2.74380920352661,-1.32488447524438
"l06:b02",2.75289125641669,-1.34363072179362
"l06:b03",2.80602387828557,-1.33787893273064
"l06:b04",2.88281149246918,-1.3877025309117
"l06:b05",3.00355128562438,-1.4251714621693
"l06:b06",3.00313600852709,-1.40266514496987
"l06:b07",2.89191207757936,-1.40685020618579
"l06:b08",2.69997492051917,-1.33521237994702
"l06:b09",2.90296862912904,-1.41687770869167
"l06:b10",2.97755825422278,-1.47872834650714
"l06:b11",3.19807815545681,-1.51434202846187
"l06:b12",2.9304381826261,-1.40042793543711
"l06:b13",3.02377800319508,-1.40579218434941
"l06:b14",2.95396697221857,-1.44099268273206
"l06:b15",3.00674096396876,-1.45978139308997
"l06:b16",2.82002816622021,-1.38080418396196
"l06:b17",2.90836340497026,-1.41854777398409
"l06:b18",2.91506858787234,-1.41111443560604
"l06:b19",2.81833405707012,-1.37788051463037
"l06:b20",2.87333427090372,-1.40610613279356
"l06:posttest",4.89893655531533,-1.95340704183379
"l06:pretest",3.65162020935666,-1.50486507105328
"l07:b01",3.2036023124604,-1.43864761560059
"l07:b02",3.1272973061583,-1.44158027597735
"l07:b03",3.1854879886959,-1.46736169049097
"l07:b04",3.0443171624109,-1.38966736443361
"l07:b05",3.26840973872467,-1.48224237720198
"l07:b06",3.39135846016543,-1.55758534063337
"l07:b07",3.32539219222131,-1.45809567523012
"l07:b08",3.11819816993718,-1.42343235709377
"l07:b09",3.3217933016439,-1.51138538349863
"l07:b10",3.26014457094266,-1.51692853472153
"l07:b11",3.15703787299061,-1.46147770833576
"l07:b12",3.29291365583359,-1.52770211361007
"l07:b13",3.26898728342413,-1.51998865124036
"l07:b14",3.09627183258031,-1.45181470512181
"l07:b15",3.26514441542809,-1.4867756513381
"l07:b16",3.13730170779186,-1.46722897706387
"l07:b17",3.25513261944564,-1.50040852405754
"l07:b18",3.34454379886411,-1.51010954295348
"l07:b19",3.33242403218813,-1.49908869924077
"l07:b20",3.2698988084327,-1.48006984975881
"l07:posttest",3.41010086752574,-1.42656767208714
"l07:pretest",3.27645771687599,-1.45191270624514
"l08:b01",3.5923961519058,-1.47743371200793
"l08:b02",3.41494503268553,-1.47224146203474
"l08:b03",3.58515159505415,-1.51785607596041
"l08:b04",3.47357530931649,-1.46389390550815
"l08:b05",3.69766333713561,-1.57768014599586
"l08:b06",3.61041134653363,-1.51765602242767
"l08:b07",3.51913440441168,-1.47967836650862
"l08:b08",3.48944456668297,-1.49287057544704
"l08:b09",3.5554054881645,-1.50874871471984
"l08:b10",3.4151093420862,-1.45572352712206
"l08:b11",3.39621757127479,-1.41905926497172
"l08:b12",3.70309799572078,-1.56747468534231
"l08:b13",3.48623361484035,-1.43652676945884
"l08:b14",3.68062148071489,-1.52092625848575
"l08:b15",3.58881391046442,-1.49180449327423
"l08:b16",3.60746561175301,-1.53903533504916
"l08:b17",3.66657633887252,-1.53096162329219
"l08:b18",3.78399824882674,-1.51457274584357
"l08:b19",3.66536555860622,-1.51465168739484
"l08:b20",3.81591219786128,-1.5479130941083
"l08:posttest",3.34935605603497,-1.22485271865973
"l08:pretest",3.16852267887735,-1.29131840344946
"l09:b01",3.83690177933202,-1.59380781208418
"l09:b02",3.80492688314993,-1.61504497969548
"l09:b03",3.96864908536322,-1.66259322474747
"l09:b04",3.83684886929309,-1.58313765062142
"l09:b05",3.89571314174015,-1.65502473337981
"l09:b06",3.84093405040371,-1.6538429616294
"l09:b07",3.74126057809114,-1.63676489061566
"l09:b08",3.90816549890942,-1.70189009802725
"l09:b09",3.94614710472865,-1.67493682176617
"l09:b10",3.78904420094141,-1.61858162377528
"l09:b11",4.10960874996685,-1.73118429613038
"l09:b12",4.0014752272639,-1.69671231771661
"l09:b13",3.98474159984061,-1.72169085960877
"l09:b14",3.83898307127311,-1.65398243255555
"l09:b15",3.74939504776173,-1.63670024258976
"l09:b16",3.78609191177201,-1.59799225330249
"l09:b17",4.01067473399712,-1.70263311936895
"l09:b18",3.84718206358613,-1.65396516182588
"l09:b19",3.94492215457779,-1.70218473807964
"l09:b20",3.9162346271777,-1.70399850136744
"l09:posttest",4.4636330049964,-1.76496842816904
"l09:pretest",4.13751287544172,-1.72359914999554
"l10:b01",3.90322355339017,-1.58269865449051
"l10:b02",3.74758014622483,-1.5233760873808
"l10:b03",3.81163167586616,-1.60833570898155
"l10:b04",4.08765238391292,-1.69409172395669
"l10:b05",3.90924112047828,-1.65118524659084
"l10:b06",4.04643972421301,-1.70076472661398
"l10:b07",3.990165027097,-1.66951795851321
"l10:b08",3.99023618790689,-1.68628086547899
"l10:b09",4.06434368366504,-1.72318559229743
"l10:b10",4.16026924851447,-1.73448841013477
"l10:b11",3.8697033156643,-1.63919779805835
"l10:b12",3.96333160531532,-1.68296748760867
"l10:b13",4.03410394519097,-1.66784299469588
"l10:b14",4.04996538940563,-1.6900875050765
"l10:b15",3.99405181584444,-1.65881684076404
"l10:b16",3.8981672804262,-1.63163777496164
"l10:b17",4.08649151680384,-1.70760926327398
"l10:b18",3.86390280279616,-1.60949976051222
"l10:b19",3.85312042308576,-1.58387312651807
"l10:b20",3.88210680996989,-1.60683161512841
"l10:posttest",3.9527299253859,-1.65379967451867
"l10:pretest",3.91691291444914,-1.65062179749235
"l11:b01",3.8064846095548,-1.54065984923149
