index,cluster,subID,time,block,frontal_intercept,frontal_slope,frontal_rsquared,central_intercept,central_slope,central_rsquared,parietal_intercept,parietal_slope,parietal_rsquared,occipital_intercept,occipital_slope,occipital_rsquared
240,a11_prac_b19,a11,prac,b19,3.209543793,-1.339670839,0.822529829,3.567137513,-1.464575531,0.864041838,3.338802128,-1.417710955,0.902604976,2.944997498,-1.26555146,0.958678647
241,a11_prac_b20,a11,prac,b20,3.075954331,-1.262712099,0.828807611,3.521487228,-1.410468391,0.873721968,3.316489719,-1.362454265,0.931569554,2.791007973,-1.170257906,0.963189138
242,a11_rest_posttest,a11,rest,est,2.844533067,-1.341208929,0.914228216,3.159487473,-1.387729379,0.934674846,3.63387186,-1.588151064,0.896267285,3.381104615,-1.507032929,0.901049265
243,a12_rest_pretest,a12,rest,est,2.0188273,-1.107680212,0.870102873,3.345255633,-1.45030518,0.854211339,3.581869852,-1.543410656,0.800814733,3.407689746,-1.487417366,0.838591617
244,a12_prac_b01,a12,prac,b01,2.115098917,-1.049539324,0.812336353,3.891287338,-1.65585359,0.956937557,3.855185147,-1.675384414,0.972536637,3.355951109,-1.42731347,0.96088445
245,a12_prac_b02,a12,prac,b02,2.031395326,-1.049780034,0.845823096,3.845230352,-1.676838666,0.9871492,3.78479409,-1.675593824,0.990684666,3.337053327,-1.468983252,0.981704559
246,a12_prac_b03,a12,prac,b03,1.635787561,-0.910974986,0.637487936,3.55890573,-1.60991369,0.958777046,3.692094823,-1.712545708,0.978506055,3.403432796,-1.571073635,0.972596684
247,a12_prac_b04,a12,prac,b04,1.726019022,-0.920981286,0.698165822,3.605965825,-1.58840842,0.943264162,3.683619392,-1.66562771,0.97356784,3.292948266,-1.489074925,0.972469443
248,a12_prac_b05,a12,prac,b05,1.855412758,-0.960346586,0.794211383,3.658041374,-1.595064075,0.97736064,3.590391383,-1.616986448,0.981260055,3.114303316,-1.428402549,0.966134969
249,a12_prac_b06,a12,prac,b06,2.023291125,-1.047702521,0.81888377,3.793007529,-1.65607681,0.984558295,3.736761693,-1.678139792,0.980687879,3.396058734,-1.545291266,0.977846495
250,a12_prac_b07,a12,prac,b07,1.754571372,-0.942998064,0.790620425,3.557527981,-1.555378924,0.917515294,3.652871507,-1.629062081,0.954399429,3.391046038,-1.514579115,0.96573184
251,a12_prac_b08,a12,prac,b08,1.797656383,-0.930695944,0.802567448,3.560010478,-1.519202828,0.920075639,3.665574558,-1.604712458,0.957761316,3.297196481,-1.457804512,0.974745876
252,a12_prac_b09,a12,prac,b09,1.688643412,-0.899993178,0.745981804,3.433545571,-1.492500486,0.919671773,3.481630506,-1.573905764,0.970972652,3.126714929,-1.434580956,0.987322232
253,a12_prac_b10,a12,prac,b10,1.816776816,-0.939189123,0.734559335,3.62420757,-1.576350696,0.952182111,3.743158498,-1.671850367,0.969348231,3.378555662,-1.50203569,0.963139665
254,a12_prac_b11,a12,prac,b11,1.739677304,-0.913650575,0.781824405,3.415298658,-1.457138319,0.879374546,3.526630124,-1.554974356,0.923733687,3.325987919,-1.476282795,0.940039335
