subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a12,prac,b07,P2,Q2,5,1.81335015,-0.966512369,3.567472144,-1.559051713,3.634210146,-1.620912715,3.349610152,-1.496750266,0.671821754,0.92581832,1.33985609,1.469113755,1.378736608,1.540416314,1.356685442,1.530465154
a12,prac,b08,P3,Q2,6,1.855306392,-0.954218797,3.572924947,-1.525187276,3.648441559,-1.598137958,3.273584536,-1.447594476,0.709729257,0.930190342,1.289446229,1.394191267,1.357960333,1.487065295,1.291710764,1.436809669
a12,prac,b09,P3,Q2,6,1.753716426,-0.926248484,3.461027836,-1.503473036,3.488453566,-1.575336494,3.118154983,-1.429199558,0.674722472,0.91394733,1.341088693,1.471113971,1.333179661,1.522533439,1.215188482,1.431031033
a12,prac,b10,P2,Q2,5,1.872895286,-0.962094272,3.625859184,-1.576940921,3.709412755,-1.657548386,3.340573298,-1.485783233,0.724233831,0.956729856,1.380893805,1.504195673,1.410955716,1.582761381,1.294665043,1.479136193
a12,prac,b11,P2,Q2,5,1.801328158,-0.938658588,3.447678538,-1.470899344,3.530774275,-1.556573666,3.296677892,-1.463615813,0.7033687,0.951127221,1.347979435,1.476731588,1.376639594,1.549138546,1.310592488,1.540543131
a12,prac,b12,P2,Q2,5,2.120821309,-1.08771369,3.852810622,-1.66174749,3.875587018,-1.713223227,3.461521091,-1.563669855,0.80495691,1.088388941,1.515213003,1.657492301,1.534195396,1.72481746,1.372993298,1.589716758
a12,prac,b13,P2,Q2,5,2.081734308,-1.068359578,3.641017032,-1.578000577,3.607372,-1.593630368,3.422119118,-1.507462813,0.778183876,1.016111741,1.358462901,1.491645717,1.385850328,1.561622268,1.394972871,1.571025528
a12,prac,b14,P2,Q2,5,2.078028344,-1.056360814,3.874893603,-1.685122055,3.903948244,-1.740479041,3.539074931,-1.576405184,0.795201357,1.033555244,1.481429189,1.597086744,1.52057255,1.685568587,1.422191438,1.584889265
a12,prac,b15,P2,Q2,5,1.922971201,-1.016618446,3.682750001,-1.644648955,3.742857486,-1.691551572,3.478487561,-1.542199329,0.719709165,1.002524695,1.352017904,1.504979467,1.407040543,1.600236743,1.361168734,1.518870502
a12,prac,b16,P1,Q2,4,2.039744377,-1.057025683,3.741541707,-1.604727075,3.662981259,-1.606744777,3.240523801,-1.438033069,0.763219334,1.022417211,1.455687101,1.580139794,1.421173311,1.603698881,1.339256628,1.547620661
a12,prac,b17,P1,Q2,4,2.020740517,-1.01235006,3.838633106,-1.624104718,3.934535104,-1.701842109,3.551225375,-1.575153497,0.813558339,1.041556706,1.487825992,1.585166738,1.548625455,1.697084485,1.45625271,1.647115361
a12,prac,b18,P1,Q2,4,2.055704724,-1.043375458,3.856296948,-1.659633011,3.855031991,-1.702410623,3.442896036,-1.551414087,0.825906776,1.080509521,1.519899975,1.660557346,1.479659835,1.703239149,1.365435247,1.610052837
a12,prac,b19,P1,Q2,4,2.01301613,-1.029602501,3.786608811,-1.632056255,3.664153365,-1.629654746,3.298485444,-1.503326883,0.763867791,0.996716278,1.469603924,1.584571307,1.465816758,1.663644231,1.325571558,1.544268287
a12,prac,b20,P1,Q2,4,2.189726189,-1.090575197,3.808267043,-1.614519153,3.812753209,-1.645600108,3.445904266,-1.512454296,0.859212822,1.090746404,1.432803707,1.562747874,1.465230298,1.629544691,1.443711774,1.614729079
a12,ave_prac,ave_prac,,,,1.964866562,-1.013341545,3.701640437,-1.604450029,3.711224394,-1.648807523,3.348515996,-1.49698793,0.699382801,0.956096369,1.38500098,1.51240972,1.399705191,1.574234015,1.325837893,1.506051107
a12,rest,posttest,,,,1.963617726,-1.0236768,3.298086844,-1.450363298,3.411798327,-1.472371023,3.277199698,-1.417443923,0.7576,0.9664,1.3068,1.3852,1.37545246,1.50287672,1.38655534,1.52809518
a12,rest,pretest,,,,2.052945382,-1.120550532,3.384998027,-1.466306525,3.58132197,-1.544278646,3.371165118,-1.47243575,0.7906125,1.07110185,1.4034054,1.49679192,1.42035686,1.5038864,1.38584609,1.46473008
a13,prac,b01,N1,Q1,1,2.570605331,-1.105139166,2.728182952,-1.011829394,2.876236314,-1.058940451,3.253595523,-1.201331127,0.912254801,0.95820431,0.982679299,0.89230145,1.03816779,0.941742406,1.236167574,1.141542087
a13,prac,b02,N2,Q1,2,2.26386742,-1.045072106,2.866320751,-1.127210945,3.080560874,-1.216667622,3.359441096,-1.312718692,0.899739081,1.049249045,1.119646079,1.103693236,1.141871088,1.13112892,1.283797022,1.278382514
a13,prac,b03,P1,Q2,4,2.420366382,-1.110168863,3.165988371,-1.303000567,3.160097633,-1.317548845,3.329346252,-1.359037546,0.975122752,1.120206932,1.202071815,1.223281686,1.157991286,1.205860302,1.252053432,1.287086694
a13,prac,b04,P1,Q2,4,2.432694472,-1.136572228,3.288350937,-1.358202873,3.295320548,-1.361370273,3.346083665,-1.332986284,1.008778678,1.181258107,1.283218121,1.327007678,1.245640995,1.28554532,1.332298913,1.348852481
a13,prac,b05,P2,Q2,5,2.695519764,-1.242743589,3.410847008,-1.421803361,3.432185472,-1.420664128,3.50694045,-1.409592734,1.105916739,1.273569122,1.325535359,1.381810311,1.319810481,1.362049851,1.386445431,1.407395117
a13,prac,b06,P2,Q2,5,2.744876694,-1.270730569,3.457229245,-1.444552531,3.429733264,-1.420419373,3.514121226,-1.431633534,1.066208793,1.229129699,1.338527478,1.399603685,1.25368884,1.25368884,1.342361901,1.401136048
a13,prac,b07,P3,Q2,6,2.735001356,-1.237231397,3.426490089,-1.420507807,3.516280891,-1.449035251,3.577438713,-1.435224985,1.087016542,1.222447064,1.333593918,1.393139932,1.367560537,1.404308186,1.444473642,1.483135081
a13,prac,b08,E1,Q3,7,2.858438068,-1.320693232,3.259036567,-1.334047168,3.212024862,-1.309090606,3.267279587,-1.307241706,1.077799034,1.240930198,1.221619054,1.254307049,1.142971968,1.179544799,1.312253621,1.324676535
a13,prac,b09,E1,Q3,7,2.901452348,-1.333519925,3.408731571,-1.408465599,3.371258471,-1.405281286,3.434776344,-1.411971763,1.072261051,1.215307824,1.245292924,1.266143481,1.071129375,1.133789365,1.327408381,1.350885299
a13,prac,b10,E1,Q3,7,2.725087548,-1.306225661,3.524937407,-1.481087623,3.408088958,-1.416234074,3.381332621,-1.36420303,1.026028709,1.224262492,1.321718676,1.370332308,1.311119154,1.346700105,1.37215972,1.407210236
a13,prac,b11,N1,Q1,1,2.781830042,-1.24972452,3.202134687,-1.268166958,3.377287111,-1.338426574,3.462656771,-1.360396553,1.122412985,1.267219353,1.253663318,1.285686626,1.250423424,1.27662538,1.341976338,1.387702389
a13,prac,b12,N2,Q1,2,2.664974676,-1.234832362,3.050082041,-1.24485975,3.184444783,-1.281284027,3.402968477,-1.345506631,1.103983513,1.292931818,1.124091471,1.218860769,1.200897482,1.261339824,1.331323107,1.398988691
a13,prac,b13,E2,Q3,8,2.906123668,-1.361477045,3.334803459,-1.38035104,3.219783512,-1.33158076,3.381799306,-1.386638954,1.111126225,1.294636146,1.258169596,1.300506938,1.051042911,1.140905617,1.283262874,1.347118933
a13,prac,b14,E3,Q3,9,2.895913274,-1.363303491,3.372273229,-1.387550424,3.249562151,-1.330053039,3.220774002,-1.314409735,1.090792609,1.276612566,1.298303463,1.33536209,1.280383585,1.323466572,1.306702551,1.353827536
a13,prac,b15,N3,Q1,3,3.298383437,-1.552150213,3.794590561,-1.624155777,3.859799687,-1.64864908,3.730186504,-1.536751471,1.312351628,1.613602746,1.502259807,1.749399242,1.487113474,1.726981418,1.493015571,1.701955923
a13,prac,b16,E3,Q3,9,2.730802006,-1.361860845,3.67903643,-1.538641658,3.494191187,-1.45973497,3.426921977,-1.425337991,0.954963227,1.201935458,1.247086923,1.292676628,1.262030923,1.281557032,1.304032567,1.346655709
a13,prac,b17,E3,Q3,9,2.920613665,-1.388478839,3.30113523,-1.350478029,3.21370957,-1.323131041,3.297174498,-1.351615022,1.07960207,1.278430684,1.182952324,1.189936081,1.122817323,1.136727499,1.189107067,1.233356532
a13,prac,b18,E3,Q3,9,2.873662537,-1.383286417,3.416487194,-1.435692173,3.35945756,-1.41219201,3.46501435,-1.43570045,1.027200606,1.262230445,1.237171742,1.316198439,1.26374697,1.32241265,1.378446106,1.436248669
a13,prac,b19,P2,Q2,5,2.624775998,-1.212714207,3.055040066,-1.220723691,3.16637977,-1.238836193,3.332619872,-1.286679801,1.029528007,1.193470632,1.129369944,1.136042722,1.138990174,1.118536972,1.282135035,1.249817258
a13,prac,b20,E2,Q3,8,3.170866546,-1.483308825,4.051564834,-1.712505094,3.995481548,-1.684662563,3.861235435,-1.58841277,1.266818471,1.470970426,1.584544909,1.658031418,1.538813343,1.601362133,1.532323692,1.603390226
a13,ave_prac,ave_prac,,,,2.760792762,-1.284961675,3.339663131,-1.373691623,3.345094208,-1.371190108,3.427585333,-1.379869539,1.066495276,1.243330253,1.259575811,1.304716088,1.232310556,1.27171366,1.336587227,1.374468198
a13,rest,posttest,,,,3.343775669,-1.507973233,4.402342562,-1.751386034,5.236435191,-1.993347255,5.321801649,-1.855475298,1.2502,1.4085,1.5956,1.5957,1.96363105,1.87750589,2.0487131,1.77984505
a13,rest,pretest,,,,2.908865136,-1.482811347,3.759004835,-1.620163915,4.284518465,-1.747616951,4.342183747,-1.618759237,1.09080718,1.40216706,1.35868592,1.49122548,1.59032518,1.65677362,1.63671493,1.55156751
