subID,time,block,difficulty,diffQ,diff,intercept_frontal,lgHz_frontal,intercept_central,lgHz_central,intercept_parietal,lgHz_parietal,intercept_occipital,lgHz_occipital,offset_frontal,slope_frontal,offset_central,slope_central,offset_parietal,slope_parietal,offset_occipital,slope_occipital
a03,prac,b02,N2,Q1,2,2.395218255,-1.180820188,4.292740429,-1.653303483,4.310370047,-1.727149305,3.900315577,-1.564217606,1.14023844,1.301922236,1.847225942,1.697101001,1.838875196,1.762661547,1.593248657,1.589377512
a03,prac,b03,N2,Q1,2,2.559853819,-1.2398705,4.213023917,-1.612022811,4.207150669,-1.665264527,3.773297353,-1.476299242,1.153818703,1.324716983,1.783550857,1.609906906,1.792678114,1.711911664,1.674717286,1.626206609
a03,prac,b04,N3,Q1,3,2.683598546,-1.274919983,4.439321618,-1.697877265,4.472043419,-1.786565031,3.988945367,-1.598421234,1.170714235,1.330805861,1.819647608,1.653683397,1.858703237,1.793258217,1.731098281,1.700682895
a03,prac,b05,N3,Q1,3,2.586702117,-1.260058833,4.389712067,-1.693750195,4.322784116,-1.728532253,3.820701832,-1.547871538,1.128394434,1.322100996,1.745588802,1.600770571,1.801381095,1.746626174,1.620206382,1.63296017
a03,prac,b06,P1,Q2,4,2.521609027,-1.237997562,4.156843025,-1.618615983,4.272248622,-1.723191454,3.833740822,-1.540517604,1.091714304,1.280815427,1.745618024,1.619060193,1.828011018,1.759518808,1.689018804,1.663884817
a03,prac,b07,P1,Q2,4,2.603127398,-1.299546754,4.363851862,-1.707207186,4.435518677,-1.795873521,4.116602327,-1.661076007,0.977018516,1.205291093,1.759346407,1.646343235,1.846099693,1.826584037,1.780523226,1.785965136
a03,prac,b08,P1,Q2,4,2.911758637,-1.407576527,4.526975786,-1.747113416,4.422194832,-1.769471239,3.959761733,-1.592531573,1.249043823,1.44197531,1.789619148,1.645704673,1.874334346,1.813182218,1.73254202,1.719480533
a03,prac,b09,P2,Q2,5,2.368191923,-1.149771554,4.011928726,-1.519376771,4.097651085,-1.632279289,3.826392012,-1.540962882,1.060758405,1.215243594,1.718222474,1.552918478,1.711139813,1.657181566,1.625629061,1.621861259
a03,prac,b10,P2,Q2,5,2.676106112,-1.273850305,4.377969588,-1.662300467,4.541889721,-1.799868488,4.103741736,-1.63962873,1.214360093,1.400869585,1.779824438,1.614581861,1.895540443,1.831717716,1.760009525,1.759786894
a03,prac,b11,P2,Q2,5,2.56099985,-1.275164233,4.27686706,-1.668466293,4.473262942,-1.779334791,4.02985305,-1.60269689,1.102683721,1.309816599,1.811905909,1.691773895,1.855733078,1.804087272,1.698727234,1.691678307
a03,prac,b12,P3,Q2,6,2.571781561,-1.252350076,4.319328564,-1.655148091,4.407714381,-1.764085103,4.018679128,-1.607393419,1.123839642,1.296396476,1.810203023,1.629379543,1.85661558,1.803002065,1.762891289,1.737494107
a03,prac,b13,P3,Q2,6,2.70559514,-1.302629366,4.222111379,-1.622978564,4.290210698,-1.698475157,3.874251384,-1.53313051,1.222293419,1.399261622,1.781020356,1.614252066,1.824478554,1.738421787,1.696381689,1.669059014
a03,prac,b14,E1,Q3,7,2.576307309,-1.312379727,4.084847698,-1.604503819,3.982335501,-1.635674811,3.624752902,-1.501154521,1.079165672,1.303759419,1.705722174,1.588106838,1.681623892,1.664757409,1.576253354,1.578727429
a03,prac,b15,P2,Q2,5,3.309621263,-1.588560079,4.69728118,-1.833712786,4.730605304,-1.871094341,4.200454402,-1.653733964,1.276535112,1.516913428,1.871332714,1.785252682,1.890910711,1.880293509,1.720939987,1.734287447
a03,prac,b16,E3,Q3,9,2.864891531,-1.451375702,4.279293902,-1.709873605,4.149311401,-1.730284992,3.878610008,-1.598066534,1.247054357,1.463592808,1.836863076,1.710728719,1.779594348,1.757453535,1.712410742,1.699914658
a03,prac,b17,P2,Q2,5,2.501198514,-1.246603762,4.201604501,-1.629646368,4.182019986,-1.688281297,3.8421598,-1.533723234,1.091873916,1.319142603,1.732143846,1.609998222,1.749000006,1.724387087,1.635999427,1.640071626
a03,prac,b18,P2,Q2,5,2.984070051,-1.447339863,4.572534955,-1.78788044,4.529968936,-1.812278247,4.165540368,-1.64723163,1.192504744,1.405266505,1.889811265,1.775000173,1.863553655,1.837358624,1.736869301,1.752031906
a03,prac,b19,P3,Q2,6,3.016389871,-1.446621328,4.738597033,-1.823237856,4.702561886,-1.853644076,4.345297967,-1.698581111,1.24694405,1.436357779,2.007945221,1.840003616,2.02763473,1.961904018,1.932224896,1.895464765
